Mod:Item:MetaData, Localized Name
tconstruct:large_sword_blade:0, Seismum Large Sword Blade
tconstruct:large_sword_blade:0, Astrium Large Sword Blade
tconstruct:large_sword_blade:0, Niob Large Sword Blade
tconstruct:large_sword_blade:0, Yrdeen Large Sword Blade
tconstruct:large_sword_blade:0, Meteorite Large Sword Blade
tconstruct:large_sword_blade:0, Obsidiorite Large Sword Blade
tconstruct:large_sword_blade:0, Mirion Large Sword Blade
tconstruct:large_sword_blade:0, Livingwood Large Sword Blade
tconstruct:large_sword_blade:0, Elementium Large Sword Blade
tconstruct:large_sword_blade:0, Cerulean Large Sword Blade
tconstruct:large_sword_blade:0, Moonstone Large Sword Blade
tconstruct:large_sword_blade:0, Aurorian Steel Large Sword Blade
tconstruct:large_sword_blade:0, Silentwood Large Sword Blade
tconstruct:large_sword_blade:0, Aurorian Stone Large Sword Blade
tconstruct:hammer_head:0, Electrical Hammer Head
tconstruct:hammer_head:0, Energetic Hammer Head
tconstruct:hammer_head:0, Vibrant Hammer Head
tconstruct:hammer_head:0, Red Hammer Head
tconstruct:hammer_head:0, Conductive Hammer Head
tconstruct:hammer_head:0, Pulsating Hammer Head
tconstruct:hammer_head:0, Dark Hammer Head
tconstruct:hammer_head:0, Souled Hammer Head
tconstruct:hammer_head:0, Hammer Head of the End
tconstruct:hammer_head:0, Fake-Iron Hammer Head
tconstruct:hammer_head:0, Naga Scale Hammer Head
tconstruct:hammer_head:0, Steeleaf Hammer Head
tconstruct:hammer_head:0, Fiery Hammer Head
tconstruct:hammer_head:0, Knightly Hammer Head
tconstruct:hammer_head:0, Wooden Hammer Head
tconstruct:hammer_head:0, Stone Hammer Head
tconstruct:hammer_head:0, Flint Hammer Head
tconstruct:hammer_head:0, Cactus Hammer Head
tconstruct:hammer_head:0, Bone Hammer Head
tconstruct:hammer_head:0, Obsidian Hammer Head
tconstruct:hammer_head:0, Prismarine Hammer Head
tconstruct:hammer_head:0, End Hammer Head
tconstruct:hammer_head:0, Paper Hammer Head
tconstruct:hammer_head:0, Sponge Hammer Head
tconstruct:hammer_head:0, Firewood Hammer Head
tconstruct:hammer_head:0, Iron Hammer Head
tconstruct:hammer_head:0, Pig Iron Hammer Head
tconstruct:hammer_head:0, Knightslime Hammer Head
tconstruct:hammer_head:0, Slime Hammer Head
tconstruct:hammer_head:0, Slime Hammer Head
tconstruct:hammer_head:0, Magma Slime Hammer Head
tconstruct:hammer_head:0, Netherrack Hammer Head
tconstruct:hammer_head:0, Cobalt Hammer Head
tconstruct:hammer_head:0, Ardite Hammer Head
tconstruct:hammer_head:0, Manyullyn Hammer Head
tconstruct:hammer_head:0, Copper Hammer Head
tconstruct:hammer_head:0, Bronze Hammer Head
tconstruct:hammer_head:0, Lead Hammer Head
tconstruct:hammer_head:0, Silver Hammer Head
tconstruct:hammer_head:0, Electrum Hammer Head
tconstruct:hammer_head:0, Steel Hammer Head
tconstruct:hammer_head:0, Dragon Bone Hammer Head
tconstruct:hammer_head:0, Desert Myrmex Chitin Hammer Head
tconstruct:hammer_head:0, Jungle Myrmex Chitin Hammer Head
tconstruct:hammer_head:0, Fire Dragonsteel Hammer Head
tconstruct:hammer_head:0, Ice Dragonsteel Hammer Head
tconstruct:hammer_head:0, Weezer Hammer Head
tconstruct:hammer_head:0, Magical Wooden Hammer Head
tconstruct:hammer_head:0, Evil Infused Hammer Head
tconstruct:hammer_head:0, Enchanted Hammer Head
tconstruct:hammer_head:0, Demonic Hammer Head
tconstruct:hammer_head:0, Molten Meat Hammer Head
tconstruct:hammer_head:0, Vespa Carapace Hammer Head
tconstruct:hammer_head:0, Scythe Claw Hammer Head
tconstruct:hammer_head:0, Treated Wood Hammer Head
tconstruct:hammer_head:0, Constantan Hammer Head
tconstruct:hammer_head:0, Prosperity Shard Hammer Head
tconstruct:hammer_head:0, Soulium Hammer Head
tconstruct:hammer_head:0, Base Essence Hammer Head
tconstruct:hammer_head:0, Inferium Hammer Head
tconstruct:hammer_head:0, Prudentium Hammer Head
tconstruct:hammer_head:0, Intermedium Hammer Head
tconstruct:hammer_head:0, Superium Hammer Head
tconstruct:hammer_head:0, Supremium Hammer Head
tconstruct:hammer_head:0, Boron Hammer Head
tconstruct:hammer_head:0, Tough Alloy Hammer Head
tconstruct:hammer_head:0, Hard Carbon Hammer Head
tconstruct:hammer_head:0, Boron Nitride Hammer Head
tconstruct:hammer_head:0, Thorium Hammer Head
tconstruct:hammer_head:0, Uranium Hammer Head
tconstruct:hammer_head:0, Magnesium Hammer Head
tconstruct:hammer_head:0, Chocolate Hammer Head
tconstruct:hammer_head:0, Plastic Hammer Head
tconstruct:hammer_head:0, Pink Slime Hammer Head
tconstruct:hammer_head:0, Reinforced Pink Slime Hammer Head
tconstruct:hammer_head:0, Invar Hammer Head
tconstruct:hammer_head:0, Nickel Hammer Head
tconstruct:hammer_head:0, Refined Obsidian Hammer Head
tconstruct:hammer_head:0, Refined Glowstone Hammer Head
tconstruct:hammer_head:0, Osmium Hammer Head
tconstruct:hammer_head:0, Manasteel Hammer Head
tconstruct:hammer_head:0, Terrasteel Hammer Head
tconstruct:hammer_head:0, Elementium Hammer Head
tconstruct:hammer_head:0, Gaia Spirit Hammer Head
tconstruct:hammer_head:0, Yellorium Hammer Head
tconstruct:hammer_head:0, Quartz Enriched Iron Hammer Head
tconstruct:hammer_head:0, Psimetal Hammer Head
tconstruct:hammer_head:0, Psigem Hammer Head
tconstruct:hammer_head:0, Ivory Psimetal Hammer Head
tconstruct:hammer_head:0, Ebony Psimetal Hammer Head
tconstruct:hammer_head:0, Red Matter Hammer Head
tconstruct:hammer_head:0, Fluxed Electrum Hammer Head
tconstruct:hammer_head:0, Tungsten Hammer Head
tconstruct:hammer_head:0, Titanium Hammer Head
tconstruct:hammer_head:0, Ruby Hammer Head
tconstruct:hammer_head:0, Sapphire Hammer Head
tconstruct:hammer_head:0, Rubber Hammer Head
tconstruct:hammer_head:0, Alumite Hammer Head
tconstruct:hammer_head:0, Iridium Hammer Head
tconstruct:hammer_head:0, Jade Hammer Head
tconstruct:hammer_head:0, Peridot Hammer Head
tconstruct:hammer_head:0, Malachite Hammer Head
tconstruct:hammer_head:0, Amber Hammer Head
tconstruct:hammer_head:0, Topaz Hammer Head
tconstruct:hammer_head:0, Tanzanite Hammer Head
tconstruct:hammer_head:0, Osgloglas Hammer Head
tconstruct:hammer_head:0, Osmiridium Hammer Head
tconstruct:hammer_head:0, Lumium Hammer Head
tconstruct:hammer_head:0, Signalum Hammer Head
tconstruct:hammer_head:0, Platinum Hammer Head
tconstruct:hammer_head:0, Enderium Hammer Head
tconstruct:hammer_head:0, Black Quartz Hammer Head
tconstruct:hammer_head:0, Void Hammer Head
tconstruct:hammer_head:0, Enori Hammer Head
tconstruct:hammer_head:0, Palis Hammer Head
tconstruct:hammer_head:0, Restonia Hammer Head
tconstruct:hammer_head:0, Emeradic Hammer Head
tconstruct:hammer_head:0, Diamatine Hammer Head
tconstruct:hammer_head:0, Certus Quartz Hammer Head
tconstruct:hammer_head:0, Thaumium Hammer Head
tconstruct:hammer_head:0, Starmetal Hammer Head
tconstruct:hammer_head:0, Cheese Hammer Head
tconstruct:hammer_head:0, Plague Metal Hammer Head
tconstruct:hammer_head:0, Tiberium Hammer Head
tconstruct:hammer_head:0, Aurorium Hammer Head
tconstruct:hammer_head:0, Prometheum Hammer Head
tconstruct:hammer_head:0, Duranite Hammer Head
tconstruct:hammer_head:0, Valyrium Hammer Head
tconstruct:hammer_head:0, Vibranium Hammer Head
tconstruct:hammer_head:0, Terrax Hammer Head
tconstruct:hammer_head:0, Palladium Hammer Head
tconstruct:hammer_head:0, Uru Hammer Head
tconstruct:hammer_head:0, Eezo Hammer Head
tconstruct:hammer_head:0, Basalt Hammer Head
tconstruct:hammer_head:0, Triberium Hammer Head
tconstruct:hammer_head:0, Fractum Hammer Head
tconstruct:hammer_head:0, Violium Hammer Head
tconstruct:hammer_head:0, Proxii Hammer Head
tconstruct:hammer_head:0, Tritonite Hammer Head
tconstruct:hammer_head:0, Ignitz Hammer Head
tconstruct:hammer_head:0, Imperomite Hammer Head
tconstruct:hammer_head:0, Solarium Hammer Head
tconstruct:hammer_head:0, Nihilite Hammer Head
tconstruct:hammer_head:0, Adamant Hammer Head
tconstruct:hammer_head:0, Dyonite Hammer Head
tconstruct:hammer_head:0, Nucleum Hammer Head
tconstruct:hammer_head:0, Lumix Hammer Head
tconstruct:hammer_head:0, Seismum Hammer Head
tconstruct:hammer_head:0, Astrium Hammer Head
tconstruct:hammer_head:0, Niob Hammer Head
tconstruct:hammer_head:0, Yrdeen Hammer Head
tconstruct:hammer_head:0, Meteorite Hammer Head
tconstruct:hammer_head:0, Obsidiorite Hammer Head
tconstruct:hammer_head:0, Mirion Hammer Head
tconstruct:hammer_head:0, Livingwood Hammer Head
tconstruct:hammer_head:0, Elementium Hammer Head
tconstruct:hammer_head:0, Cerulean Hammer Head
tconstruct:hammer_head:0, Moonstone Hammer Head
tconstruct:hammer_head:0, Aurorian Steel Hammer Head
tconstruct:hammer_head:0, Silentwood Hammer Head
tconstruct:hammer_head:0, Aurorian Stone Hammer Head
tconstruct:excavator_head:0, Electrical Excavator Head
tconstruct:excavator_head:0, Energetic Excavator Head
tconstruct:excavator_head:0, Vibrant Excavator Head
tconstruct:excavator_head:0, Red Excavator Head
tconstruct:excavator_head:0, Conductive Excavator Head
tconstruct:excavator_head:0, Pulsating Excavator Head
tconstruct:excavator_head:0, Dark Excavator Head
tconstruct:excavator_head:0, Souled Excavator Head
tconstruct:excavator_head:0, Excavator Head of the End
tconstruct:excavator_head:0, Fake-Iron Excavator Head
tconstruct:excavator_head:0, Naga Scale Excavator Head
tconstruct:excavator_head:0, Steeleaf Excavator Head
tconstruct:excavator_head:0, Fiery Excavator Head
tconstruct:excavator_head:0, Knightly Excavator Head
tconstruct:excavator_head:0, Wooden Excavator Head
tconstruct:excavator_head:0, Stone Excavator Head
tconstruct:excavator_head:0, Flint Excavator Head
tconstruct:excavator_head:0, Cactus Excavator Head
tconstruct:excavator_head:0, Bone Excavator Head
tconstruct:excavator_head:0, Obsidian Excavator Head
tconstruct:excavator_head:0, Prismarine Excavator Head
tconstruct:excavator_head:0, End Excavator Head
tconstruct:excavator_head:0, Paper Excavator Head
tconstruct:excavator_head:0, Sponge Excavator Head
tconstruct:excavator_head:0, Firewood Excavator Head
tconstruct:excavator_head:0, Iron Excavator Head
tconstruct:excavator_head:0, Pig Iron Excavator Head
tconstruct:excavator_head:0, Knightslime Excavator Head
tconstruct:excavator_head:0, Slime Excavator Head
tconstruct:excavator_head:0, Slime Excavator Head
tconstruct:excavator_head:0, Magma Slime Excavator Head
tconstruct:excavator_head:0, Netherrack Excavator Head
tconstruct:excavator_head:0, Cobalt Excavator Head
tconstruct:excavator_head:0, Ardite Excavator Head
tconstruct:excavator_head:0, Manyullyn Excavator Head
tconstruct:excavator_head:0, Copper Excavator Head
tconstruct:excavator_head:0, Bronze Excavator Head
tconstruct:excavator_head:0, Lead Excavator Head
tconstruct:excavator_head:0, Silver Excavator Head
tconstruct:excavator_head:0, Electrum Excavator Head
tconstruct:excavator_head:0, Steel Excavator Head
tconstruct:excavator_head:0, Dragon Bone Excavator Head
tconstruct:excavator_head:0, Desert Myrmex Chitin Excavator Head
tconstruct:excavator_head:0, Jungle Myrmex Chitin Excavator Head
tconstruct:excavator_head:0, Fire Dragonsteel Excavator Head
tconstruct:excavator_head:0, Ice Dragonsteel Excavator Head
tconstruct:excavator_head:0, Weezer Excavator Head
tconstruct:excavator_head:0, Magical Wooden Excavator Head
tconstruct:excavator_head:0, Evil Infused Excavator Head
tconstruct:excavator_head:0, Enchanted Excavator Head
tconstruct:excavator_head:0, Demonic Excavator Head
tconstruct:excavator_head:0, Molten Meat Excavator Head
tconstruct:excavator_head:0, Vespa Carapace Excavator Head
tconstruct:excavator_head:0, Scythe Claw Excavator Head
tconstruct:excavator_head:0, Treated Wood Excavator Head
tconstruct:excavator_head:0, Constantan Excavator Head
tconstruct:excavator_head:0, Prosperity Shard Excavator Head
tconstruct:excavator_head:0, Soulium Excavator Head
tconstruct:excavator_head:0, Base Essence Excavator Head
tconstruct:excavator_head:0, Inferium Excavator Head
tconstruct:excavator_head:0, Prudentium Excavator Head
tconstruct:excavator_head:0, Intermedium Excavator Head
tconstruct:excavator_head:0, Superium Excavator Head
tconstruct:excavator_head:0, Supremium Excavator Head
tconstruct:excavator_head:0, Boron Excavator Head
tconstruct:excavator_head:0, Tough Alloy Excavator Head
tconstruct:excavator_head:0, Hard Carbon Excavator Head
tconstruct:excavator_head:0, Boron Nitride Excavator Head
tconstruct:excavator_head:0, Thorium Excavator Head
tconstruct:excavator_head:0, Uranium Excavator Head
tconstruct:excavator_head:0, Magnesium Excavator Head
tconstruct:excavator_head:0, Chocolate Excavator Head
tconstruct:excavator_head:0, Plastic Excavator Head
tconstruct:excavator_head:0, Pink Slime Excavator Head
tconstruct:excavator_head:0, Reinforced Pink Slime Excavator Head
tconstruct:excavator_head:0, Invar Excavator Head
tconstruct:excavator_head:0, Nickel Excavator Head
tconstruct:excavator_head:0, Refined Obsidian Excavator Head
tconstruct:excavator_head:0, Refined Glowstone Excavator Head
tconstruct:excavator_head:0, Osmium Excavator Head
tconstruct:excavator_head:0, Manasteel Excavator Head
tconstruct:excavator_head:0, Terrasteel Excavator Head
tconstruct:excavator_head:0, Elementium Excavator Head
tconstruct:excavator_head:0, Gaia Spirit Excavator Head
tconstruct:excavator_head:0, Yellorium Excavator Head
tconstruct:excavator_head:0, Quartz Enriched Iron Excavator Head
tconstruct:excavator_head:0, Psimetal Excavator Head
tconstruct:excavator_head:0, Psigem Excavator Head
tconstruct:excavator_head:0, Ivory Psimetal Excavator Head
tconstruct:excavator_head:0, Ebony Psimetal Excavator Head
tconstruct:excavator_head:0, Red Matter Excavator Head
tconstruct:excavator_head:0, Fluxed Electrum Excavator Head
tconstruct:excavator_head:0, Tungsten Excavator Head
tconstruct:excavator_head:0, Titanium Excavator Head
tconstruct:excavator_head:0, Ruby Excavator Head
tconstruct:excavator_head:0, Sapphire Excavator Head
tconstruct:excavator_head:0, Rubber Excavator Head
tconstruct:excavator_head:0, Alumite Excavator Head
tconstruct:excavator_head:0, Iridium Excavator Head
tconstruct:excavator_head:0, Jade Excavator Head
tconstruct:excavator_head:0, Peridot Excavator Head
tconstruct:excavator_head:0, Malachite Excavator Head
tconstruct:excavator_head:0, Amber Excavator Head
tconstruct:excavator_head:0, Topaz Excavator Head
tconstruct:excavator_head:0, Tanzanite Excavator Head
tconstruct:excavator_head:0, Osgloglas Excavator Head
tconstruct:excavator_head:0, Osmiridium Excavator Head
tconstruct:excavator_head:0, Lumium Excavator Head
tconstruct:excavator_head:0, Signalum Excavator Head
tconstruct:excavator_head:0, Platinum Excavator Head
tconstruct:excavator_head:0, Enderium Excavator Head
tconstruct:excavator_head:0, Black Quartz Excavator Head
tconstruct:excavator_head:0, Void Excavator Head
tconstruct:excavator_head:0, Enori Excavator Head
tconstruct:excavator_head:0, Palis Excavator Head
tconstruct:excavator_head:0, Restonia Excavator Head
tconstruct:excavator_head:0, Emeradic Excavator Head
tconstruct:excavator_head:0, Diamatine Excavator Head
tconstruct:excavator_head:0, Certus Quartz Excavator Head
tconstruct:excavator_head:0, Thaumium Excavator Head
tconstruct:excavator_head:0, Starmetal Excavator Head
tconstruct:excavator_head:0, Cheese Excavator Head
tconstruct:excavator_head:0, Plague Metal Excavator Head
tconstruct:excavator_head:0, Tiberium Excavator Head
tconstruct:excavator_head:0, Aurorium Excavator Head
tconstruct:excavator_head:0, Prometheum Excavator Head
tconstruct:excavator_head:0, Duranite Excavator Head
tconstruct:excavator_head:0, Valyrium Excavator Head
tconstruct:excavator_head:0, Vibranium Excavator Head
tconstruct:excavator_head:0, Terrax Excavator Head
tconstruct:excavator_head:0, Palladium Excavator Head
tconstruct:excavator_head:0, Uru Excavator Head
tconstruct:excavator_head:0, Eezo Excavator Head
tconstruct:excavator_head:0, Basalt Excavator Head
tconstruct:excavator_head:0, Triberium Excavator Head
tconstruct:excavator_head:0, Fractum Excavator Head
tconstruct:excavator_head:0, Violium Excavator Head
tconstruct:excavator_head:0, Proxii Excavator Head
tconstruct:excavator_head:0, Tritonite Excavator Head
tconstruct:excavator_head:0, Ignitz Excavator Head
tconstruct:excavator_head:0, Imperomite Excavator Head
tconstruct:excavator_head:0, Solarium Excavator Head
tconstruct:excavator_head:0, Nihilite Excavator Head
tconstruct:excavator_head:0, Adamant Excavator Head
tconstruct:excavator_head:0, Dyonite Excavator Head
tconstruct:excavator_head:0, Nucleum Excavator Head
tconstruct:excavator_head:0, Lumix Excavator Head
tconstruct:excavator_head:0, Seismum Excavator Head
tconstruct:excavator_head:0, Astrium Excavator Head
tconstruct:excavator_head:0, Niob Excavator Head
tconstruct:excavator_head:0, Yrdeen Excavator Head
tconstruct:excavator_head:0, Meteorite Excavator Head
tconstruct:excavator_head:0, Obsidiorite Excavator Head
tconstruct:excavator_head:0, Mirion Excavator Head
tconstruct:excavator_head:0, Livingwood Excavator Head
tconstruct:excavator_head:0, Elementium Excavator Head
tconstruct:excavator_head:0, Cerulean Excavator Head
tconstruct:excavator_head:0, Moonstone Excavator Head
tconstruct:excavator_head:0, Aurorian Steel Excavator Head
tconstruct:excavator_head:0, Silentwood Excavator Head
tconstruct:excavator_head:0, Aurorian Stone Excavator Head
tconstruct:kama_head:0, Electrical Kama Head
tconstruct:kama_head:0, Energetic Kama Head
tconstruct:kama_head:0, Vibrant Kama Head
tconstruct:kama_head:0, Red Kama Head
tconstruct:kama_head:0, Conductive Kama Head
tconstruct:kama_head:0, Pulsating Kama Head
tconstruct:kama_head:0, Dark Kama Head
tconstruct:kama_head:0, Souled Kama Head
tconstruct:kama_head:0, Kama Head of the End
tconstruct:kama_head:0, Fake-Iron Kama Head
tconstruct:kama_head:0, Naga Scale Kama Head
tconstruct:kama_head:0, Steeleaf Kama Head
tconstruct:kama_head:0, Fiery Kama Head
tconstruct:kama_head:0, Knightly Kama Head
tconstruct:kama_head:0, Wooden Kama Head
tconstruct:kama_head:0, Stone Kama Head
tconstruct:kama_head:0, Flint Kama Head
tconstruct:kama_head:0, Cactus Kama Head
tconstruct:kama_head:0, Bone Kama Head
tconstruct:kama_head:0, Obsidian Kama Head
tconstruct:kama_head:0, Prismarine Kama Head
tconstruct:kama_head:0, End Kama Head
tconstruct:kama_head:0, Paper Kama Head
tconstruct:kama_head:0, Sponge Kama Head
tconstruct:kama_head:0, Firewood Kama Head
tconstruct:kama_head:0, Iron Kama Head
tconstruct:kama_head:0, Pig Iron Kama Head
tconstruct:kama_head:0, Knightslime Kama Head
tconstruct:kama_head:0, Slime Kama Head
tconstruct:kama_head:0, Slime Kama Head
tconstruct:kama_head:0, Magma Slime Kama Head
tconstruct:kama_head:0, Netherrack Kama Head
tconstruct:kama_head:0, Cobalt Kama Head
tconstruct:kama_head:0, Ardite Kama Head
tconstruct:kama_head:0, Manyullyn Kama Head
tconstruct:kama_head:0, Copper Kama Head
tconstruct:kama_head:0, Bronze Kama Head
tconstruct:kama_head:0, Lead Kama Head
tconstruct:kama_head:0, Silver Kama Head
tconstruct:kama_head:0, Electrum Kama Head
tconstruct:kama_head:0, Steel Kama Head
tconstruct:kama_head:0, Dragon Bone Kama Head
tconstruct:kama_head:0, Desert Myrmex Chitin Kama Head
tconstruct:kama_head:0, Jungle Myrmex Chitin Kama Head
tconstruct:kama_head:0, Fire Dragonsteel Kama Head
tconstruct:kama_head:0, Ice Dragonsteel Kama Head
tconstruct:kama_head:0, Weezer Kama Head
tconstruct:kama_head:0, Magical Wooden Kama Head
tconstruct:kama_head:0, Evil Infused Kama Head
tconstruct:kama_head:0, Enchanted Kama Head
tconstruct:kama_head:0, Demonic Kama Head
tconstruct:kama_head:0, Molten Meat Kama Head
tconstruct:kama_head:0, Vespa Carapace Kama Head
tconstruct:kama_head:0, Scythe Claw Kama Head
tconstruct:kama_head:0, Treated Wood Kama Head
tconstruct:kama_head:0, Constantan Kama Head
tconstruct:kama_head:0, Prosperity Shard Kama Head
tconstruct:kama_head:0, Soulium Kama Head
tconstruct:kama_head:0, Base Essence Kama Head
tconstruct:kama_head:0, Inferium Kama Head
tconstruct:kama_head:0, Prudentium Kama Head
tconstruct:kama_head:0, Intermedium Kama Head
tconstruct:kama_head:0, Superium Kama Head
tconstruct:kama_head:0, Supremium Kama Head
tconstruct:kama_head:0, Boron Kama Head
tconstruct:kama_head:0, Tough Alloy Kama Head
tconstruct:kama_head:0, Hard Carbon Kama Head
tconstruct:kama_head:0, Boron Nitride Kama Head
tconstruct:kama_head:0, Thorium Kama Head
tconstruct:kama_head:0, Uranium Kama Head
tconstruct:kama_head:0, Magnesium Kama Head
tconstruct:kama_head:0, Chocolate Kama Head
tconstruct:kama_head:0, Plastic Kama Head
tconstruct:kama_head:0, Pink Slime Kama Head
tconstruct:kama_head:0, Reinforced Pink Slime Kama Head
tconstruct:kama_head:0, Invar Kama Head
tconstruct:kama_head:0, Nickel Kama Head
tconstruct:kama_head:0, Refined Obsidian Kama Head
tconstruct:kama_head:0, Refined Glowstone Kama Head
tconstruct:kama_head:0, Osmium Kama Head
tconstruct:kama_head:0, Manasteel Kama Head
tconstruct:kama_head:0, Terrasteel Kama Head
tconstruct:kama_head:0, Elementium Kama Head
tconstruct:kama_head:0, Gaia Spirit Kama Head
tconstruct:kama_head:0, Yellorium Kama Head
tconstruct:kama_head:0, Quartz Enriched Iron Kama Head
tconstruct:kama_head:0, Psimetal Kama Head
tconstruct:kama_head:0, Psigem Kama Head
tconstruct:kama_head:0, Ivory Psimetal Kama Head
tconstruct:kama_head:0, Ebony Psimetal Kama Head
tconstruct:kama_head:0, Red Matter Kama Head
tconstruct:kama_head:0, Fluxed Electrum Kama Head
tconstruct:kama_head:0, Tungsten Kama Head
tconstruct:kama_head:0, Titanium Kama Head
tconstruct:kama_head:0, Ruby Kama Head
tconstruct:kama_head:0, Sapphire Kama Head
tconstruct:kama_head:0, Rubber Kama Head
tconstruct:kama_head:0, Alumite Kama Head
tconstruct:kama_head:0, Iridium Kama Head
tconstruct:kama_head:0, Jade Kama Head
tconstruct:kama_head:0, Peridot Kama Head
tconstruct:kama_head:0, Malachite Kama Head
tconstruct:kama_head:0, Amber Kama Head
tconstruct:kama_head:0, Topaz Kama Head
tconstruct:kama_head:0, Tanzanite Kama Head
tconstruct:kama_head:0, Osgloglas Kama Head
tconstruct:kama_head:0, Osmiridium Kama Head
tconstruct:kama_head:0, Lumium Kama Head
tconstruct:kama_head:0, Signalum Kama Head
tconstruct:kama_head:0, Platinum Kama Head
tconstruct:kama_head:0, Enderium Kama Head
tconstruct:kama_head:0, Black Quartz Kama Head
tconstruct:kama_head:0, Void Kama Head
tconstruct:kama_head:0, Enori Kama Head
tconstruct:kama_head:0, Palis Kama Head
tconstruct:kama_head:0, Restonia Kama Head
tconstruct:kama_head:0, Emeradic Kama Head
tconstruct:kama_head:0, Diamatine Kama Head
tconstruct:kama_head:0, Certus Quartz Kama Head
tconstruct:kama_head:0, Thaumium Kama Head
tconstruct:kama_head:0, Starmetal Kama Head
tconstruct:kama_head:0, Cheese Kama Head
tconstruct:kama_head:0, Plague Metal Kama Head
tconstruct:kama_head:0, Tiberium Kama Head
tconstruct:kama_head:0, Aurorium Kama Head
tconstruct:kama_head:0, Prometheum Kama Head
tconstruct:kama_head:0, Duranite Kama Head
tconstruct:kama_head:0, Valyrium Kama Head
tconstruct:kama_head:0, Vibranium Kama Head
tconstruct:kama_head:0, Terrax Kama Head
tconstruct:kama_head:0, Palladium Kama Head
tconstruct:kama_head:0, Uru Kama Head
tconstruct:kama_head:0, Eezo Kama Head
tconstruct:kama_head:0, Basalt Kama Head
tconstruct:kama_head:0, Triberium Kama Head
tconstruct:kama_head:0, Fractum Kama Head
tconstruct:kama_head:0, Violium Kama Head
tconstruct:kama_head:0, Proxii Kama Head
tconstruct:kama_head:0, Tritonite Kama Head
tconstruct:kama_head:0, Ignitz Kama Head
tconstruct:kama_head:0, Imperomite Kama Head
tconstruct:kama_head:0, Solarium Kama Head
tconstruct:kama_head:0, Nihilite Kama Head
tconstruct:kama_head:0, Adamant Kama Head
tconstruct:kama_head:0, Dyonite Kama Head
tconstruct:kama_head:0, Nucleum Kama Head
tconstruct:kama_head:0, Lumix Kama Head
tconstruct:kama_head:0, Seismum Kama Head
tconstruct:kama_head:0, Astrium Kama Head
tconstruct:kama_head:0, Niob Kama Head
tconstruct:kama_head:0, Yrdeen Kama Head
tconstruct:kama_head:0, Meteorite Kama Head
tconstruct:kama_head:0, Obsidiorite Kama Head
tconstruct:kama_head:0, Mirion Kama Head
tconstruct:kama_head:0, Livingwood Kama Head
tconstruct:kama_head:0, Elementium Kama Head
tconstruct:kama_head:0, Cerulean Kama Head
tconstruct:kama_head:0, Moonstone Kama Head
tconstruct:kama_head:0, Aurorian Steel Kama Head
tconstruct:kama_head:0, Silentwood Kama Head
tconstruct:kama_head:0, Aurorian Stone Kama Head
tconstruct:scythe_head:0, Electrical Scythe Head
tconstruct:scythe_head:0, Energetic Scythe Head
tconstruct:scythe_head:0, Vibrant Scythe Head
tconstruct:scythe_head:0, Red Scythe Head
tconstruct:scythe_head:0, Conductive Scythe Head
tconstruct:scythe_head:0, Pulsating Scythe Head
tconstruct:scythe_head:0, Dark Scythe Head
tconstruct:scythe_head:0, Souled Scythe Head
tconstruct:scythe_head:0, Scythe Head of the End
tconstruct:scythe_head:0, Fake-Iron Scythe Head
tconstruct:scythe_head:0, Naga Scale Scythe Head
tconstruct:scythe_head:0, Steeleaf Scythe Head
tconstruct:scythe_head:0, Fiery Scythe Head
tconstruct:scythe_head:0, Knightly Scythe Head
tconstruct:scythe_head:0, Wooden Scythe Head
tconstruct:scythe_head:0, Stone Scythe Head
tconstruct:scythe_head:0, Flint Scythe Head
tconstruct:scythe_head:0, Cactus Scythe Head
tconstruct:scythe_head:0, Bone Scythe Head
tconstruct:scythe_head:0, Obsidian Scythe Head
tconstruct:scythe_head:0, Prismarine Scythe Head
tconstruct:scythe_head:0, End Scythe Head
tconstruct:scythe_head:0, Paper Scythe Head
tconstruct:scythe_head:0, Sponge Scythe Head
tconstruct:scythe_head:0, Firewood Scythe Head
tconstruct:scythe_head:0, Iron Scythe Head
tconstruct:scythe_head:0, Pig Iron Scythe Head
tconstruct:scythe_head:0, Knightslime Scythe Head
tconstruct:scythe_head:0, Slime Scythe Head
tconstruct:scythe_head:0, Slime Scythe Head
tconstruct:scythe_head:0, Magma Slime Scythe Head
tconstruct:scythe_head:0, Netherrack Scythe Head
tconstruct:scythe_head:0, Cobalt Scythe Head
tconstruct:scythe_head:0, Ardite Scythe Head
tconstruct:scythe_head:0, Manyullyn Scythe Head
tconstruct:scythe_head:0, Copper Scythe Head
tconstruct:scythe_head:0, Bronze Scythe Head
tconstruct:scythe_head:0, Lead Scythe Head
tconstruct:scythe_head:0, Silver Scythe Head
tconstruct:scythe_head:0, Electrum Scythe Head
tconstruct:scythe_head:0, Steel Scythe Head
tconstruct:scythe_head:0, Dragon Bone Scythe Head
tconstruct:scythe_head:0, Desert Myrmex Chitin Scythe Head
tconstruct:scythe_head:0, Jungle Myrmex Chitin Scythe Head
tconstruct:scythe_head:0, Fire Dragonsteel Scythe Head
tconstruct:scythe_head:0, Ice Dragonsteel Scythe Head
tconstruct:scythe_head:0, Weezer Scythe Head
tconstruct:scythe_head:0, Magical Wooden Scythe Head
tconstruct:scythe_head:0, Evil Infused Scythe Head
tconstruct:scythe_head:0, Enchanted Scythe Head
tconstruct:scythe_head:0, Demonic Scythe Head
tconstruct:scythe_head:0, Molten Meat Scythe Head
